   41.212 INFO     Host "34.224.245.31" added to group "us-east-1"
   41.212 INFO     Host "34.225.52.141" added to group "us-east-1"
   41.212 INFO     Host "34.229.210.21" added to group "us-east-1"
   41.212 INFO     Host "54.89.83.56" added to group "us-east-1"
   41.212 INFO     Host "54.91.231.196" added to group "us-east-1"
   41.219 INFO     Host "34.193.109.28" added to group "us-east-1a"
   41.219 INFO     Host "54.89.83.56" added to group "us-east-1a"
   41.219 INFO     Host "54.91.231.196" added to group "us-east-1a"
   41.226 INFO     Host "34.224.245.31" added to group "us-east-1b"
   41.232 INFO     Host "34.225.52.141" added to group "us-east-1c"
   41.232 INFO     Host "34.229.210.21" added to group "us-east-1c"
   41.239 INFO     Host "34.193.109.28" added to group "vpc_id_vpc_0b10e36f"
   41.239 INFO     Host "34.225.52.141" added to group "vpc_id_vpc_0b10e36f"
   41.239 INFO     Host "34.229.210.21" added to group "vpc_id_vpc_0b10e36f"
   41.239 INFO     Host "54.89.83.56" added to group "vpc_id_vpc_0b10e36f"
   41.239 INFO     Host "54.91.231.196" added to group "vpc_id_vpc_0b10e36f"
   41.246 INFO     Host "13.126.214.29" added to group "vpc_id_vpc_451ef32c"
   41.246 INFO     Host "13.127.13.202" added to group "vpc_id_vpc_451ef32c"
   41.246 INFO     Host "35.154.142.70" added to group "vpc_id_vpc_451ef32c"
   41.253 INFO     Host "35.176.36.6" added to group "vpc_id_vpc_b8e9c9d1"
   41.253 INFO     Host "52.56.209.184" added to group "vpc_id_vpc_b8e9c9d1"
   41.259 INFO     Host "35.177.84.250" added to group "vpc_id_vpc_c28e95ab"
   41.265 INFO     Host "34.224.245.31" added to group "vpc_id_vpc_e6c7279d"
   42.022 INFO     Inventory import completed for group "EC2" in 40.7s
